,FoodName,FoodGroup,FoodSubGroup,PerServingHouseholdMeasure,Energy_kcal,Carbohydrate_g,Protein_g,Totalfat_g,Saturatedfat_g,Dietaryfibre_g,Cholestrol_mg,Sodium_mg,Energy_kcal%,Carbohydrate_g%,Protein_g%,Totalfat_g%,Saturatedfat_g%,Dietaryfibre_g%,Cholestrol_mg%,Sodium_mg%,RRR',T',T'c,RRR,TOri
21,6-inch Subway Melt Sandwich Subway,FAST FOODS,All fast food outlets in alphabetical order,Whole (240g),360,39,24,10.99,5.3,4.01,45.6,1404,18,13,32,17.171875,26.5,16.04,15.2,58.5,0.910375148,29.79850379,1.568342305,0.81285956,0.164496333
22,6-inch Sweet Onion Chicken Teriyaki Sandwich Subway,FAST FOODS,All fast food outlets in alphabetical order,Whole (267g),355.11,50.01,26.7,4.81,1.5,4.01,48.06,881.1,17.7555,16.67,35.6,7.515625,7.5,16.04,16.02,36.7125,1.348792061,20.65179924,1.101106302,1.324306304,0.07199521
23,6-inch Tuna Sandwich Subway,FAST FOODS,All fast food outlets in alphabetical order,Whole (236g),507.4,35.99,21.24,30,6.89,3.99,44.84,800.04,25.37,11.99666667,28.32,46.875,34.45,15.96,14.94666667,33.335,0.916861073,30.94878788,1.173636249,0.819228812,0.449034576
24,6-inch Turkey Breast and Ham Sandwich Subway,FAST FOODS,All fast food outlets in alphabetical order,Whole (219g),271.56,38,19.71,4.49,1.49,4.01,26.28,1011.78,13.578,12.66666667,26.28,7.015625,7.45,16.04,8.76,42.1575,1.240248284,20.844375,1.429851489,1.17644606,0.067205508
25,6-inch Turkey breast Sandwich Subway,FAST FOODS,All fast food outlets in alphabetical order,Whole (210g),260.4,37,18.9,3.91,1.3,3.99,21,787.5,13.02,12.33333333,25.2,6.109375,6.5,15.96,7,32.8125,1.42252552,17.30850379,1.234558045,1.387435217,0.058524173
26,6-Inch Wheat Bread Subway,FAST FOODS,All fast food outlets in alphabetical order,Whole (69g),189.75,32,8.28,2.6,0.9,3,0,280.83,9.4875,10.66666667,11.04,4.0625,4.5,12,0,11.70125,1.546964698,9.103068182,0.867992199,1.793781325,0.03891633
27,a.m. Hash Brown KFC,FAST FOODS,All fast food outlets in alphabetical order,Piece (57g),90.06,11,1,5,1,1.54,0,200.07,4.503,3.666666667,1.333333333,7.8125,5,6.16,0,8.33625,0.840842189,6.862916667,1.247122782,0.840095109,0.074839096
28,Abalone noodles soup,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Cereal based dishes,Bowl-soup (16 and 1/2 cm) (502g),243.97,32.68,18.22,4.52,1.66,2.46,32.63,1543.65,12.1985,10.89333333,24.29333333,7.0625,8.3,9.84,10.87666667,64.31875,0.792449387,27.79011364,2.105550906,0.713385647,0.067654543
29,Abalone canned brine only,FISH AND FISH PRODUCTS,Others (squids algae plankton etc),Can (244g),75.64,6.34,12.2,0.1,0,0,0,1832.44,3.782,2.113333333,16.26666667,0.15625,0,0,0,76.35166667,0.487381292,26.60445707,5.563458191,0.405988328,0.001496782
30,Abalone canned drained,FISH AND FISH PRODUCTS,Others (squids algae plankton etc),Can (212g),178.08,5.94,36.46,1.06,0.36,0,163.24,1411.92,8.904,1.98,48.61333333,1.65625,1.8,0,54.41333333,58.83,0.956147298,21.21541667,2.142105883,0.784419189,0.015865888
31,Abalone dried,FISH AND FISH PRODUCTS,Shellfish and roe (eg all bivalves),Teaspoon (10.5g),31.82,0.3,6.77,0.21,0.11,0,125.9,315,1.591,0.1,9.026666667,0.328125,0.55,0,41.96666667,13.125,0.386801283,4.85407197,1.873435727,0.315437571,0.003143242
32,Abalone raw,FISH AND FISH PRODUCTS,Shellfish and roe (eg all bivalves),Whole (64g),39.04,0.38,8.32,0.26,0.13,0,77.44,307.2,1.952,0.126666667,11.09333333,0.40625,0.65,0,25.81333333,12.8,0.654805941,4.781477273,1.619741624,0.538310985,0.003891633
33,Abalone soup,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Fish and seafood based dishes,Bowl-soup (16 and 1/2 cm) (203.71g),93.71,2.04,12.22,4.07,1.36,1.02,128.34,1045.03,4.6855,0.68,16.29333333,6.359375,6.8,4.08,42.78,43.54291667,0.513547889,17.09106692,3.006079838,0.416596731,0.060919024
34,Abok abok sago,OTHER MIXED ETHNIC DISHES,Local cakes desserts and snacks,Piece (1g),3.72,0.5,0.03,0.17,0.15,0.04,0,3.96,0.186,0.166666667,0.04,0.265625,0.75,0.16,0,0.165,0.220432047,0.532632576,0.44909998,0.363306085,0.002544529
35,Achar,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Vegetable based dishes,Plate-23cm (174.3g),185.19,40.09,3.31,3.49,1.22,3.31,0,1051.03,9.2595,13.36333333,4.413333333,5.453125,6.1,13.24,0,43.79291667,0.60023333,21.20686237,2.067046384,0.596876149,0.052237689
36,Agar-agar plain,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Local cakes desserts and snacks,Piece (50g),38.5,9.3,0.1,0.1,0.08,0.25,0,3.5,1.925,3.1,0.133333333,0.15625,0.4,1,0,0.145833333,0.419024144,1.530997475,0.52341794,0.917369309,0.001496782
37,Agedeshi tofu,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Pulses based dishes,Plate-16cm (12g),15.08,0.63,0.47,1.19,0.33,0.07,0.1,15.7,0.754,0.21,0.626666667,1.859375,1.65,0.28,0.033333333,0.654166667,0.527728685,1.239059343,0.706419238,0.586554531,0.017811705
38,Ajinomoto MSG,MISCELLANEOUS,Stock cubes / flavourings essence yeast extractsetc,Teaspoon (5g),0,0,0,0,0,0,0,615,0,0,0,0,0,0,0,25.625,0,8.875,8.875,0,0
39,Ale,BEVERAGES,Alcoholic beverages,Can (500g),177.05,7,2,0,0,0,0,50,8.8525,2.333333333,2.666666667,0,0,0,0,2.083333333,0.460364211,1.876262626,0.190435182,0.487693363,0
40,Allspice ground,MISCELLANEOUS,Herbs spices condiments,Tablespoon (6g),15.78,3.03,0.37,0.52,0.15,1.3,0,4.62,0.789,1.01,0.493333333,0.8125,0.75,5.2,0,0.1925,4.235366255,0.878030303,0.490793909,6.576186351,0.007783266
41,Almond jelly,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Local cakes desserts and snacks,1 portion (200g),150,32.8,2.4,1.2,0.7,0,3.8,28,7.5,10.93333333,3.2,1.875,3.5,0,1.266666667,1.166666667,0.303483159,5.322979798,0.626232917,0.476426799,0.017961383
42,Aloe vera,VEGETABLE AND VEGETABLE PRODUCTS,Vegetables non-leafy (eg sweetcorn beansprouts),Slice (100g),3.5,0.87,0,0,0,0.02,0,24.61,0.175,0.29,0,0,0,0.08,0,1.025416667,0.07969691,0.778169192,0.662271653,0.133287053,0
