,FoodName,FoodGroup,FoodSubGroup,PerServingHouseholdMeasure,Energy_kcal,Carbohydrate_g,Protein_g,Totalfat_g,Saturatedfat_g,Dietaryfibre_g,Cholestrol_mg,Sodium_mg,Energy_kcal%,Carbohydrate_g%,Protein_g%,Totalfat_g%,Saturatedfat_g%,Dietaryfibre_g%,Cholestrol_mg%,Sodium_mg%,RRR',T',T'c,RRR,TOri
723,Chocolate chip frappuccino,BEVERAGES,Non-alcoholic beverages,Cup (500g),587.8,61.5,14.75,32.9,20.4,0.8,35.55,167.8,29.39,20.5,19.66666667,51.40625,102,3.2,11.85,6.991666667,0.329862766,27.15688131,0.893612416,0.304418731,0.492441251
724,Chocolate chip frappuccino with whipped cream,BEVERAGES,Non-alcoholic beverages,Cup (500g),606.05,60.8,14.8,35.2,21.95,0.8,43.3,169,30.3025,20.26666667,19.73333333,55,109.75,3.2,14.43333333,7.041666667,0.311009907,28.28661616,0.903653579,0.283955776,0.526867235
725,Chocolate Chunk Cookies Subway,FAST FOODS,All fast food outlets in alphabetical order,Whole (45g),199.8,30,1.8,10,5.3,1,9.9,99.9,9.99,10,2.4,15.625,26.5,4,3.3,4.1625,0.288298914,10.44431818,0.950347423,0.29122348,0.149678192
726,Chocolate Cookies Subway,FAST FOODS,All fast food outlets in alphabetical order,Whole (45g),210.15,30.02,1.8,10,5.6,1,14.85,149.85,10.5075,10.00666667,2.4,15.625,28,4,4.95,6.24375,0.261207528,11.14049242,0.968107097,0.257538794,0.149678192
727,Chocolate cream roll,CEREAL AND CEREAL PRODUCTS,Breads and rolls,Whole (65g),193.05,32.18,5.59,4.68,2.67,1.69,0,213.2,9.6525,10.72666667,7.453333333,7.3125,13.35,6.76,0,8.883333333,0.808069671,9.42770202,0.885022485,0.891513995,0.070049394
728,Chocolate eclair,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Local cakes desserts and snacks,Piece (50g),258,13.25,3.15,21.45,14.8,0.85,71.5,145.5,12.9,4.416666667,4.2,33.515625,74,3.4,23.83333333,6.0625,0.155349428,15.02907197,1.081228199,0.130141629,0.321059722
729,Chocolate muffin,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Cereal based dishes,Whole (73g),310.18,30.8,4.67,18.48,11.3,2.07,55.07,414.76,15.509,10.26666667,6.226666667,28.875,56.5,8.28,18.35666667,17.28166667,0.304519809,19.20131313,1.163081539,0.269522081,0.276605299
730,Chocolate baking bitter,SUGARS SWEETS AND CONFECTIONERY,Confectionery (eg chocolates),Cube/Square (29g),146.52,14.89,3.1,8.28,0,0,0,1.04,7.326,4.963333333,4.133333333,12.9375,0,0,0,0.043333333,0.749668036,6.465126263,0.77649847,1.121765877,0.123933543
731,Chocolate candy coated,SUGARS SWEETS AND CONFECTIONERY,Confectionery (eg chocolates),Packet (50g),241.5,38.35,2.45,8.85,6.15,0,4,27.5,12.075,12.78333333,3.266666667,13.828125,30.75,0,1.333333333,1.145833333,0.135547187,9.973137626,0.762763872,0.14421043,0.1324652
732,Chocolate dark,SUGARS SWEETS AND CONFECTIONERY,Confectionery (eg chocolates),Cube/Square (20g),103.49,12.52,1.28,5.7,3.42,0.24,0,11,5.1745,4.173333333,1.706666667,8.90625,17.1,0.96,0,0.458333333,0.236420973,4.94334596,0.800606682,0.234609266,0.085316569
733,Chocolate milk,SUGARS SWEETS AND CONFECTIONERY,Confectionery (eg chocolates),Cube/Square (5g),26.91,3.1,0.41,1.5,0.93,0.04,0.9,4.5,1.3455,1.033333333,0.546666667,2.34375,4.65,0.16,0.3,0.1875,0.205528469,1.547992424,0.65998398,0.218006067,0.022451729
734,Chocolate milk with nuts,SUGARS SWEETS AND CONFECTIONERY,Confectionery (eg chocolates),Cube/Square (29g),150.97,15.37,3.22,8.56,4.18,1.42,6.09,20.59,7.5485,5.123333333,4.293333333,13.375,20.9,5.68,2.03,0.857916667,0.666503713,6.76854798,0.791781948,0.636533107,0.128124532
735,Chocolate milk filled with soft cream type filling,SUGARS SWEETS AND CONFECTIONERY,Confectionery (eg chocolates),Cube/Square (17g),83.13,10.44,1.05,4.2,2.57,0,2.55,13.43,4.1565,3.48,1.4,6.5625,12.85,0,0.85,0.559583333,0.150781174,3.972815657,0.770448106,0.152041015,0.062864841
736,Choko boiled peeled,VEGETABLE AND VEGETABLE PRODUCTS,Vegetables non-leafy (eg sweetcorn beansprouts),Cup (140g),34.5,6.02,0.84,0.28,0,2.38,0,12.6,1.725,2.006666667,1.12,0.4375,0,9.52,0,0.525,5.815941165,1.095378788,0.401973867,9.457777778,0.004190989
737,Choko raw peeled,VEGETABLE AND VEGETABLE PRODUCTS,Vegetables non-leafy (eg sweetcorn beansprouts),Whole (200g),41.62,7.2,1,0.4,0,2.8,0,16,2.081,2.4,1.333333333,0.625,0,11.2,0,0.666666667,5.859253257,1.297222222,0.421039345,9.122892151,0.005987128
738,Chrysanthemum garland boiled drained,VEGETABLE AND VEGETABLE PRODUCTS,Vegetablesleafy,Cup (100g),20,4.31,1.64,0.09,0.02,2.3,0,53,1,1.436666667,2.186666667,0.140625,0.1,9.2,0,2.208333333,5.648997264,1.359955808,0.679977904,6.883627204,0.001347104
739,Chrysanthemum tea (reduced sugar),BEVERAGES,Non-alcoholic beverages,Packet (250g),65.13,16,0,0,0,0,0,0,3.2565,5.333333333,0,0,0,0,0,0,0,2.272727273,0.53394274,0,0
740,Chutney dried cuttlefish (malay),MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Fish and seafood based dishes,Bowl-soup (16 and 1/2 cm) (325.33g),403.9,7.19,64.87,12.85,8.26,4.59,1042.85,2555.14,20.195,2.396666667,86.49333333,20.078125,41.3,18.36,347.6166667,106.4641667,0.506517006,42.82924874,2.020724168,0.406742623,0.192336477
741,Chutney fresh coriander,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Sauces gravies and dressings,1 portion (29.45g),15.56,1.73,0.46,0.76,0.52,0.54,0,230.8,0.778,0.576666667,0.613333333,1.1875,2.6,2.16,0,9.616666667,0.480567271,4.078964646,2.294130847,0.426841781,0.011375543
742,Chutney mango,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Vegetable based dishes,Bowl-soup (16 and 1/2 cm) (329g),227.01,43.1,1.97,5.26,0.92,9.87,0,1197.56,11.3505,14.36666667,2.626666667,8.21875,4.6,39.48,0,49.89833333,1.333629457,23.73357323,1.92166902,1.278888768,0.078730729
743,Chutney mint fresh,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Sauces gravies and dressings,1 portion (61.76g),18.21,3.03,0.85,0.3,-0.62,0.85,0,430.03,0.9105,1.01,1.133333333,0.46875,-3.1,3.4,0,17.91791667,0.646837522,6.726464646,3.520787567,0.576451327,0.004490346
744,Chutney sweet tomato,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Sauces gravies and dressings,1 portion (62.45g),91.14,6.01,1.41,6.83,1.27,1.66,0,270.78,4.557,2.003333333,1.88,10.671875,6.35,6.64,0,11.2825,0.859865424,8.178731061,1.471788926,0.767930778,0.102230205
745,Chwee kueh,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Local cakes desserts and snacks,Whole (57.33g),56.59,10.72,1.03,1.03,0.57,1.09,1.15,230.47,2.8295,3.573333333,1.373333333,1.609375,2.85,4.36,0.383333333,9.602916667,0.710712031,5.238036616,1.367812147,0.731957721,0.015416854
746,Chye sim with fish cake,OTHER MIXED ETHNIC DISHES,Vegetable based dishes,1 portion (126.9g),92.2,5.46,3.81,6.14,2.28,1.07,5.67,197.84,4.61,1.82,5.08,9.59375,11.4,4.28,1.89,8.243333333,0.814204827,6.81114899,1.214108554,0.716052531,0.09190241
747,Ciku raw,FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (65g),53.3,11.96,0.26,0.52,0.09,3.45,0,13.65,2.665,3.986666667,0.346666667,0.8125,0.45,13.8,0,0.56875,4.546840227,1.825265152,0.498025962,7.68057912,0.007783266
748,Cilantro raw,MISCELLANEOUS,Herbs spices condiments,Teaspoon (1.6g),0.38,0.07,0.03,0.01,0,0.04,0,0.86,0.019,0.023333333,0.04,0.015625,0,0.16,0,0.035833333,0.469156513,0.354122475,0.347519602,7.294832827,0.000149678
749,Cinnamon,MISCELLANEOUS,Herbs spices condiments,Piece (2g),6.14,1.11,0.07,0.05,0.01,0.49,0,0.1,0.307,0.37,0.093333333,0.078125,0.05,1.96,0,0.004166667,3.235386804,0.435915404,0.333523645,11.37055838,0.000748391
750,Cinnamon ground,MISCELLANEOUS,Herbs spices condiments,Teaspoon (2.3g),6.01,1.28,0.09,0.07,0.01,0.56,0,0.6,0.3005,0.426666667,0.12,0.109375,0.05,2.24,0,0.025,3.603453541,0.465397727,0.357860613,12.56990679,0.001047747
751,Citric acid anhydrous powder,MISCELLANEOUS,Others,Gram (1g),2.47,1,0,0,0,0,0,0,0.1235,0.333333333,0,0,0,0,0,0,0,0.454545455,0.404579844,0,0
752,Citrus carbonated water,BEVERAGES,Non-alcoholic beverages,Can (120g),43.63,11.16,0,0,0,0,0,18,2.1815,3.72,0,0,0,0,0,0.75,0,1.936060606,0.608537044,0,0
753,Clam chowder Long John Silver's,FAST FOODS,All fast food outlets in alphabetical order,Bowl-rice (11and 1/2 cm) (253g),193.04,23.28,9.61,6.83,2.78,20.49,2.53,834.9,9.652,7.76,12.81333333,10.671875,13.9,81.96,0.843333333,34.7875,3.871625518,15.82464015,1.485602718,3.202730522,0.102230205
754,Clam dinner Long John Silver's,FAST FOODS,All fast food outlets in alphabetical order,Plate-23cm (90g),197.46,19.53,4.32,11.34,4.65,0.09,5.4,301.5,9.873,6.51,5.76,17.71875,23.25,0.36,1.8,12.5625,0.275404782,12.78344697,1.175705598,0.257762896,0.16973507
755,Clam raw,FISH AND FISH PRODUCTS,Shellfish and roe (eg all bivalves),Whole (10.5g),6.62,0.21,1.18,0.12,0.03,0,11.03,25.2,0.331,0.07,1.573333333,0.1875,0.15,0,3.676666667,1.05,0.625925265,0.771287879,0.579479999,0.604237342,0.001796138
756,Claypot noodles with mixed vegetables,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Cereal based dishes,Bowl-soup (16 and 1/2 cm) (502g),341.36,35.64,9.04,18.07,7.88,4.02,0,1270.06,17.068,11.88,12.05333333,28.234375,39.4,16.08,0,52.91916667,0.57704502,31.21724116,1.727764067,0.514380876,0.270468493
757,Claypot rice with salted fishchicken and chinese sausages,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Cereal based dishes,Plate-23cm (350g),527.1,54.6,28.35,21.7,9.1,3.5,98,1281,26.355,18.2,37.8,33.90625,45.5,14,32.66666667,53.375,0.729665909,35.62102273,1.302175936,0.656125314,0.324801676
758,Claypot rice with mixed vegetable,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Cereal based dishes,Bowl-soup (16 and 1/2 cm) (407g),419.21,63.49,11.4,13.43,4.84,6.51,8.14,1416.36,20.9605,21.16333333,15.2,20.984375,24.2,26.04,2.713333333,59.015,0.801655666,33.90645833,1.543974788,0.771642813,0.201017812
759,Claypot rice with prawn,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Cereal based dishes,Bowl-soup (16 and 1/2 cm) (387g),433.44,72.37,17.8,7.74,3.02,3.1,108.36,1021.68,21.672,24.12333333,23.73333333,12.09375,15.1,12.4,36.12,42.57,0.637717174,26.95094697,1.188732665,0.625891347,0.115850921
760,Claypot rice with stewed beef,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Cereal based dishes,Plate-23cm (407g),643.06,85.88,34.19,17.91,7.73,4.07,109.89,879.12,32.153,28.62666667,45.58666667,27.984375,38.65,16.28,36.63,36.63,0.884759549,31.78782197,0.958821885,0.858883498,0.268073642
761,Clove dried,MISCELLANEOUS,Herbs spices condiments,Teaspoon (2.1g),6.51,0.93,0.11,0.26,0.07,0.2,0,5.92,0.3255,0.31,0.146666667,0.40625,0.35,0.8,0,0.246666667,1.081844816,0.639457071,0.482427062,2.053135731,0.003891633
762,Coca Cola Coke,BEVERAGES,Non-alcoholic beverages,Can (330g),132.63,34.65,0,0,0,0,0,36.3,6.6315,11.55,0,0,0,0,0,1.5125,0,5.0375,0.660093035,0,0
763,Coca Cola Light,BEVERAGES,Non-alcoholic beverages,Can (330g),3.3,0.33,0.33,0,0,0,0,19.8,0.165,0.11,0.44,0,0,0,0,0.825,0.521327014,0.648333333,0.556509299,0.888888889,0
764,Cockle boiled,FISH AND FISH PRODUCTS,Shellfish and roe (eg all bivalves),Whole (8.6g),5.07,0.43,0.73,0.04,0.02,0,4.56,30.1,0.2535,0.143333333,0.973333333,0.0625,0.1,0,1.52,1.254166667,0.568000962,0.824343434,0.657633374,0.622402217,0.000598713
765,Cockle raw,FISH AND FISH PRODUCTS,Shellfish and roe (eg all bivalves),Whole (9.9g),7.33,0.39,1.19,0.12,0.03,0,5.25,26.14,0.3665,0.13,1.586666667,0.1875,0.15,0,1.75,1.089166667,0.881974437,0.806161616,0.589946298,0.945664051,0.001796138
766,Cocoa mix powder,MISCELLANEOUS,Others,Teaspoon (28g),111.44,22.41,1.87,1.12,0.67,1.04,0,141.12,5.572,7.47,2.493333333,1.75,3.35,4.16,0,5.88,0.705612246,5.466969697,0.831857836,0.898977616,0.016763957
767,Coconut burfi,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Local cakes desserts and snacks,Piece (51g),229.5,35.9,2.35,8.52,5.49,0.92,6.12,36.21,11.475,11.96666667,3.133333333,13.3125,27.45,3.68,2.04,1.50875,0.303117933,9.51375,0.762625251,0.320825608,0.127525819
768,Coconut cream,NUTS AND SEEDS PULSES AND PRODUCTS,Nuts and products,Tablespoon (16g),117.28,4.46,0.03,11.04,9.79,0.13,0,5.28,5.864,1.486666667,0.04,17.25,48.95,0.52,0,0.22,0.02430195,6.681515152,0.973414212,0.020351056,0.165244724
769,Coconut cream dried,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Sauces gravies and dressings,Plate-16cm (80.6g),580,10.53,8.11,56.11,52.42,0.15,0,74.15,29,3.51,10.81333333,87.671875,262.1,0.6,0,3.089583333,0.095440659,31.8453346,1.061511153,0.077591689,0.839844335
770,Coconut flesh young,NUTS AND SEEDS PULSES AND PRODUCTS,Nuts and products,Cup (170g),64.6,8.5,1.87,2.55,2.23,0.85,0,15.3,3.23,2.833333333,2.493333333,3.984375,11.15,3.4,0,0.6375,0.783716366,2.801231061,0.662229565,0.784862105,0.038167939
771,Coconut kueh tutu,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Local cakes desserts and snacks,Piece (20g),61.6,11.54,0.86,1.32,1.17,0.42,-0.2,2.4,3.08,3.846666667,1.146666667,2.0625,5.85,1.68,-0.066666667,0.1,0.504510741,2.402045455,0.588736631,0.630717739,0.019757521
772,Coconut mee chang kueh,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Local cakes desserts and snacks,Piece (120g),322.95,56.88,6.12,7.68,6.72,4.2,0,208.8,16.1475,18.96,8.16,12,33.6,16.8,0,8.7,0.793854107,13.61878788,0.794214193,0.854099833,0.114952851
773,Coconut milk fluid,NUTS AND SEEDS PULSES AND PRODUCTS,Nuts and products,Cup (238g),661.64,6.9,6.66,67.35,59.71,5.24,0,33.32,33.082,2.3,8.88,105.234375,298.55,20.96,0,1.388333333,0.222936809,36.07544823,1.058489767,0.179208277,1.008082622
774,Coconut milk fresh first squeeze,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Sauces gravies and dressings,Cup (251.8g),616.91,6.3,8.06,62.19,54.79,0.5,0,27.7,30.8455,2.1,10.74666667,97.171875,273.95,2,0,1.154166667,0.103108765,33.81171086,1.061742188,0.083325253,0.930848675
775,Coconut milk fresh second squeeze,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Sauces gravies and dressings,Cup (244.67g),242.22,1.71,1.71,25.2,22.12,0,0,7.34,12.111,0.57,2.28,39.375,110.6,0,0,0.305833333,0.045732202,13.76755051,1.05007631,0.037068098,0.377189044
776,Coconut milk low fat,NUTS AND SEEDS PULSES AND PRODUCTS,Nuts and products,Cup (60g),94.8,2.82,1.02,8.82,7.81,0.24,0,12,4.74,0.94,1.36,13.78125,39.05,0.96,0,0.5,0.125464593,5.406477273,0.941894995,0.104764055,0.132016165
777,Coconut milk powder instant,NUTS AND SEEDS PULSES AND PRODUCTS,Nuts and products,Packet (60g),431.46,7.84,6.04,41.77,39.02,0.11,0,55.2,21.573,2.613333333,8.053333333,65.265625,195.1,0.44,0,2.3,0.095309098,23.79217803,1.054010456,0.077574252,0.625205808
778,Coconut water,BEVERAGES,Non-alcoholic beverages,Whole (250g),54.97,14,0,0,0,0,0,2.5,2.7485,4.666666667,0,0,0,0,0,0.104166667,0,2.065025253,0.550893758,0,0
779,Coconut grated with chilli fried,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Sauces gravies and dressings,Dessertspoon (11g),35.86,1.41,0.8,2.99,2.07,0.79,2.97,146.74,1.793,0.47,1.066666667,4.671875,10.35,3.16,0.99,6.114166667,0.516136481,4.003832071,1.433523835,0.439198843,0.044753779
780,Cod coral smoked simmered,FISH AND FISH PRODUCTS,Fish and roe,Piece (95g),89.3,0,19.1,1.43,0.48,0,56.05,522.5,4.465,0,25.46666667,2.234375,2.4,0,18.68333333,21.77083333,1.31762758,8.335069444,1.525172817,1.076378494,0.021403981
781,Cod coral with black stripe raw,FISH AND FISH PRODUCTS,Fish and roe,Whole (200g),160,0.8,36.8,1,0.32,0,182,218,8,0.266666667,49.06666667,1.5625,1.6,0,60.66666667,9.083333333,1.521146873,3.978914141,0.442101571,1.236714976,0.014967819
782,Cod raw,FISH AND FISH PRODUCTS,Fish and roe,Piece (233g),584.83,0,28.89,52.19,12.54,0,41.94,170.09,29.2415,0,38.52,81.546875,62.7,0,13.98,7.087083333,0.844673245,29.87798611,0.987979634,0.681718129,0.781170483
783,Cod smoked raw,FISH AND FISH PRODUCTS,Fish and roe,Piece (120g),102.78,0,22.56,1.2,0.24,0,58.8,789.6,5.139,0,30.08,1.875,1.2,0,19.6,32.9,1.256705493,11.925,1.942498778,1.022451095,0.017961383
784,Coffee and chocolate chip frappuccino,BEVERAGES,Non-alcoholic beverages,Cup (500g),416.85,41.95,11.75,23.45,14.65,0.45,30.9,142.2,20.8425,13.98333333,15.66666667,36.640625,73.25,1.8,10.3,5.925,0.345441154,19.55217803,0.895143781,0.316661757,0.35099536
785,Coffee and chocolate chip frappuccino with whipped cream,BEVERAGES,Non-alcoholic beverages,Mug (500g),478,41.25,11.95,28.85,18.15,0.45,47.75,145.9,23.9,13.75,15.93333333,45.078125,90.75,1.8,15.91666667,6.079166667,0.290744324,22.33121843,0.896836082,0.259551761,0.431821584
786,Coffee bun,CEREAL AND CEREAL PRODUCTS,Breads and rolls,Piece (90g),355.5,39.87,8.1,18.18,10.79,0.9,33.12,425.7,17.775,13.29,10.8,28.40625,53.95,3.6,11.04,17.7375,0.311221051,20.4382197,1.088586935,0.286560036,0.272114953
787,Coffee flavoured liqueur,BEVERAGES,Alcoholic beverages,Glass (250ml) (30g),97.82,6.27,0.84,4.71,3.09,0,17.4,3.6,4.891,2.09,1.12,7.359375,15.45,0,5.8,0.15,0.094687363,3.596458333,0.610500481,0.085200259,0.070498428
788,Coffee powder (HCS),HEALTHIER CHOICE SYMBOL (HCS) PRODUCTS,Beverages and sweetened drinks,Teaspoon (2g),4.82,0.82,0.24,0.01,0,0,0,0.74,0.241,0.273333333,0.32,0.015625,0,0,0,0.030833333,0.509549223,0.448213384,0.361171139,2.354383814,0.000149678
789,Coffee powder instant,BEVERAGES,Non-alcoholic beverages,Teaspoon (3g),10.23,2.2,0.35,0,0,0,0,3.39,0.5115,0.733333333,0.466666667,0,0,0,0,0.14125,0.475656576,0.647083333,0.428106737,1.429848079,0
790,Coffee decaffeinated instant powder,BEVERAGES,Non-alcoholic beverages,Teaspoon (2g),4.47,0.85,0.23,0,0,0,0,0.46,0.2235,0.283333333,0.306666667,0,0,0,0,0.019166667,0.494063428,0.442752525,0.361873744,2.527472527,0
791,Coffee latte with full cream and sugar,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Beverages,Cup (233g),144.46,11.88,5.13,8.39,5.31,0,27.96,62.91,7.223,3.96,6.84,13.109375,26.55,0,9.32,2.62125,0.335069096,7.016875,0.853322996,0.299250234,0.125580003
792,Cokodok pisang,OTHER MIXED ETHNIC DISHES,Local cakes desserts and snacks,Piece (71g),180.38,32.23,2.77,4.47,2,1.49,0,53.25,9.019,10.74333333,3.693333333,6.984375,10,5.96,0,2.21875,0.722210395,7.127102273,0.711358646,0.909073073,0.066906152
793,Coleslaw KFC,FAST FOODS,All fast food outlets in alphabetical order,Cup (80g),98.4,7.7,1.6,7,1.4,1.6,1.6,39.2,4.92,2.566666667,2.133333333,10.9375,7,6.4,0.533333333,1.633333333,1.232795153,5.263005051,0.889021123,1.211547563,0.104774734
794,Coleslaw Long John Silver's,FAST FOODS,All fast food outlets in alphabetical order,1 portion (97g),140,20,1,6.01,0.69,3.01,0,259.96,7,6.666666667,1.333333333,9.390625,3.45,12.04,0,10.83166667,1.174754439,9.133491162,1.141686395,1.256793797,0.089956593
795,Colour liquid caramel,MISCELLANEOUS,Stock cubes / flavourings essence yeast extractsetc,Teaspoon (9g),12.6,5.89,0,0,0,0,0,3.15,0.63,1.963333333,0,0,0,0,0,0.13125,0,1.091022727,0.669339096,0,0
796,Colouring caramel powdered,MISCELLANEOUS,Others,Gram (1g),2.5,0.96,0,0.01,0,0,0,0.5,0.125,0.32,0,0.015625,0,0,0,0.020833333,0,0.461849747,0.410533109,0,0.000149678
797,Concentrated Chicken Stock (HCS),HEALTHIER CHOICE SYMBOL (HCS) PRODUCTS,Sauces and recipe mixes,Teaspoon (5g),3.25,0.46,0.18,0.08,0.03,0.01,0.15,386.75,0.1625,0.153333333,0.24,0.125,0.15,0.04,0.05,16.11458333,0.039680921,5.801073232,4.990170522,0.033986598,0.001197426
798,Cooked beehoon,CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',Cup (176g),191.84,43.82,1.58,0.35,0.04,0.88,0,33.44,9.592,14.60666667,2.106666667,0.546875,0.2,3.52,0,1.393333333,0.50599741,6.184917929,0.583923521,1.00607939,0.005238737
799,Cooked brown rice beehoon,CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',Bowl-rice (11and 1/2 cm) (176g),218.24,51.04,3.7,0,0,2.99,0,14.26,10.912,17.01333333,4.933333333,0,0,11.96,0,0.594166667,1.408768897,6.355631313,0.533548633,2.936396425,0
800,Cooked jellyfish with sesame seed,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Fish and seafood based dishes,Plate-20cm (205g),134.85,17.49,9.49,2.99,0.68,0,24.09,646.78,6.7425,5.83,12.65333333,4.671875,3.4,0,8.03,26.94916667,0.602750167,12.99368056,1.678228034,0.560853987,0.044753779
801,Cookie egg ball,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Local cakes desserts and snacks,Packet (80g),308,73.44,1.44,1.04,0.32,0.8,8.8,11.2,15.4,24.48,1.92,1.625,1.6,3.2,2.933333333,0.466666667,0.267700966,9.83540404,0.599719759,0.501960784,0.015566532
802,Cookie peanut butter filling regular,CEREAL AND CEREAL PRODUCTS,Biscuits(eg crackers),Piece (14g),66.92,9.18,1.23,2.95,0.7,0.27,0,51.52,3.346,3.06,1.64,4.609375,3.5,1.08,0,2.146666667,0.513879792,3.665347222,0.843384082,0.604937356,0.044155067
803,Cookies brownies commercially prepared,CEREAL AND CEREAL PRODUCTS,Cakes and pastries(eg cakes mixescroissants),Whole (56g),226.8,34.61,2.69,9.13,2.35,1.18,9.52,143.92,11.34,11.53666667,3.586666667,14.265625,11.75,4.72,3.173333333,5.996666667,0.457250757,11.13955177,0.902718944,0.514982434,0.136656189
804,Cordial blackcurrant (min 25% juice) diluted,SUGARS SWEETS AND CONFECTIONERY,Sugars syrups,Cup (262g),92.15,23.84,0,0,0,0,0,7.86,4.6075,7.946666667,0,0,0,0,0,0.3275,0,3.33219697,0.594239317,0,0
805,Cordial citrus (40% juice) diluted,SUGARS SWEETS AND CONFECTIONERY,Sugars syrups,Cup (260g),95.78,24.44,0,0,0,0,0,26,4.789,8.146666667,0,0,0,0,0,1.083333333,0,3.656868687,0.631692639,0,0
806,Cordial citrus (min 25% juice) diluted,SUGARS SWEETS AND CONFECTIONERY,Sugars syrups,Cup (259g),87.98,22.53,0,0,0,0,0,7.77,4.399,7.51,0,0,0,0,0,0.32375,0,3.172159091,0.587545673,0,0
807,Cordial citrus (min 25% juice) undiluted,SUGARS SWEETS AND CONFECTIONERY,Sugars syrups,Cup (292g),423.34,108.92,0,0,0,0,0,35.04,21.167,36.30666667,0,0,0,0,0,1.46,0,14.02242424,0.632581055,0,0
808,Cordial citrus (min 40% juice) undiluted,SUGARS SWEETS AND CONFECTIONERY,Sugars syrups,Cup (299g),471.4,120.2,0.6,0,0,0,0,128.57,23.57,40.06666667,0.8,0,0,0,0,5.357083333,0.027160564,16.68872475,0.679231776,0.055311487,0
809,Cordial lime (min 15% lime juice) diluted,SUGARS SWEETS AND CONFECTIONERY,Sugars syrups,Cup (258g),82.1,20.64,0,0,0,0,0,5.16,4.105,6.88,0,0,0,0,0,0.215,0,2.906818182,0.569406108,0,0
810,Cordial lime (min 15% lime juice) undiluted,SUGARS SWEETS AND CONFECTIONERY,Sugars syrups,Cup (296g),480.82,121.06,0.3,0,0,0,0,32.56,24.041,40.35333333,0.4,0,0,0,0,1.356666667,0.014200615,15.45949495,0.617367316,0.031498957,0
811,Coriander leaf dried,MISCELLANEOUS,Herbs spices condiments,Teaspoon (.6g),1.67,0.31,0.13,0.03,0,0.06,0,1.27,0.0835,0.103333333,0.173333333,0.046875,0,0.24,0,0.052916667,0.841938929,0.396900253,0.366313108,6.059865608,0.000449035
812,Coriander raw,VEGETABLE AND VEGETABLE PRODUCTS,Vegetablesleafy,Cup (54g),12.39,1.89,1.24,0,0,0.65,0,2.7,0.6195,0.63,1.653333333,0,0,2.6,0,0.1125,4.871175523,0.521136364,0.321788431,11.62112933,0
813,Coriander seeds,MISCELLANEOUS,Herbs spices condiments,Tablespoon (5g),14.88,2.75,0.62,0.89,0.05,2.1,0,1.75,0.744,0.916666667,0.826666667,1.390625,0.25,8.4,0,0.072916667,10.01470235,0.899968434,0.516036946,17.29594626,0.013321359
814,Corn bread,CEREAL AND CEREAL PRODUCTS,Breads and rolls,Slice (40g),94,18.6,3.8,0.88,0.4,0.88,0,128.8,4.7,6.2,5.066666667,1.375,2,3.52,0,5.366666667,1.10027336,4.728434343,0.829549885,1.42320442,0.013171681
815,Corn chip barbecue flavour,OTHER MIXED ETHNIC DISHES,Local cakes desserts and snacks,Packet (198g),1035.54,111.28,13.86,64.75,8.83,10.3,0,1510.74,51.777,37.09333333,18.48,101.171875,44.15,41.2,0,62.9475,0.758922554,67.27979167,1.274793786,0.751284819,0.969166292
816,Corn chowder,MISCELLANEOUS,Soups (manufactured),Cup (245g),149.45,24.01,2.99,2.99,0.49,1.96,0,619.85,7.4725,8.003333333,3.986666667,4.671875,2.45,7.84,0,25.82708333,0.660445447,13.17238005,1.554721753,0.661639413,0.044753779
817,Corn Cup 3Oz McDonald's,FAST FOODS,All fast food outlets in alphabetical order,Cup (85g),60.35,11,1.7,1,0.3,0,0,159.8,3.0175,3.666666667,2.266666667,1.5625,1.5,0,0,6.658333333,0.350316831,4.406944444,1.096937012,0.405637164,0.014967819
