name,brand name,ram,storage,battery,camera 1,camera 2,screen,resolution w,resolution h,thickness,os,color,price
Huawei Honor 8,Huawei,4,64,3000,12,8,5.2,1080,1920,7.5,Android,black_white_gold_blue,300 EUR
Huawei Honor 5A,Huawei,2,16,2200,13,5,5,720,1280,9,Android,black_white_gold,120 EUR
Huawei MediaPad T1 7.0 Plus,Huawei,2,16,4100,2,2,7,600,1024,8.5,Android,black_silver,100 EUR
Huawei Honor 5c,Huawei,2,16,3000,13,8,5.2,1080,1920,8.3,Android,silver_gold_gray,170 EUR
Huawei P9 Plus,Huawei,4,64,3400,12,8,5.5,1080,1920,7,Android,white_gold,450 EUR
Huawei P9,Huawei,4,32,3000,12,8,5.2,1080,1920,7,Android,white_silver_gold_blue_red,350 EUR
Huawei Honor Holly 2 Plus,Huawei,2,16,4000,13,5,5,720,1280,9.7,Android,white_gold_gray,140 EUR
Huawei Enjoy 5s,Huawei,2,16,2200,13,5,5,720,1280,7.6,Android,silver_gold,200 EUR
Huawei Mate 8,Huawei,4,32,4000,16,8,6,1080,1920,7.9,Android,silver_gold_gray,430 EUR
Huawei Y6 Pro,Huawei,2,16,4000,13,5,5,720,1280,9.7,Android,white_gold_gray,190 EUR
Huawei P8lite ALE-L04,Huawei,2,16,2200,13,5,5,720,1280,7.7,Android,black_white_gold,180 EUR
Huawei P8lite,Huawei,2,16,2200,13,5,5,720,1280,7.7,Android,black_white_gold,170 EUR
Huawei Ascend G7,Huawei,2,16,3000,13,5,5.5,720,1280,7.6,Android,black_white,260 EUR
Huawei Ascend P7 Sapphire Edition,Huawei,2,16,2500,13,8,5,1080,1920,6.5,Android,black_white_pink,0
Huawei Honor 3X Pro,Huawei,2,32,3000,13,5,5.5,1080,1920,8.9,Android,black_white,200 EUR
Huawei Ascend P7,Huawei,2,16,2500,13,8,5,1080,1920,6.5,Android,black_white_pink,250 EUR
Huawei MediaPad X1,Huawei,2,16,5000,13,5,7,1200,1920,7.2,Android,black_white,350 EUR
