,FoodName,FoodGroup,FoodSubGroup,PerServingHouseholdMeasure,Energy_kcal,Carbohydrate_g,Protein_g,Totalfat_g,Saturatedfat_g,Dietaryfibre_g,Cholestrol_mg,Sodium_mg,Energy_kcal%,Carbohydrate_g%,Protein_g%,Totalfat_g%,Saturatedfat_g%,Dietaryfibre_g%,Cholestrol_mg%,Sodium_mg%,RRR',T'c,Health,Taste,image
3,3-in-1 cereal,CEREAL AND CEREAL PRODUCTS,Breakfast cereals,Sachet (30g),89.1,13.11,2.37,3.03,1.74,1.17,1.8,134.1,4.455,4.37,3.16,4.734375,8.7,4.68,0.6,5.5875,0.794026388,0.957145932,25,29,
6,3-in-1 instant cereal (HCS),HEALTHIER CHOICE SYMBOL (HCS) PRODUCTS,Others,Packet (30g),79.2,12.06,1.41,2.82,2.6,1.68,0,75.9,3.96,4.02,1.88,4.40625,13,6.72,0,3.1625,0.863556282,0.829522544,27,24,
8,4 in 1 brown rice cereal,CEREAL AND CEREAL PRODUCTS,Breakfast cereals,Sachet (30g),126,24.99,1.5,2.49,1.8,1.11,0,84,6.3,8.33,2,3.890625,9,4.44,0,3.5,0.565236819,0.779646638,18,22,
9,6-inch Ham Sandwich Subway,FAST FOODS,All fast food outlets in alphabetical order,Whole (216g),263.52,37,17.28,4.6,1.6,4,25.92,1069.2,13.176,12.33333333,23.04,7.1875,8,16,8.64,44.55,1.117139391,1.522232412,35,50,
10,6-Inch Hearty Italian Bread Subway,FAST FOODS,All fast food outlets in alphabetical order,Whole (71g),205.19,37,7.1,2.5,0.8,2,0,296.07,10.2595,12.33333333,9.466666667,3.90625,4,8,0,12.33625,1.082921461,0.887244038,34,26,
11,6-Inch Honey Oat Bread Subway,FAST FOODS,All fast food outlets in alphabetical order,Whole (80g),231.2,39,8.8,2.9,0.56,4,0,324.8,11.56,13,11.73333333,4.53125,2.8,16,0,13.53333333,1.665841512,0.84373291,52,25,
12,6-Inch Italian (white) Bread Subway,FAST FOODS,All fast food outlets in alphabetical order,Whole (67g),192.29,34,6.7,2.4,0.8,2,0,296.14,9.6145,11.33333333,8.933333333,3.75,4,8,0,12.33916667,1.097001816,0.902084579,34,27,
13,6-inch Italian BMT Sandwich Subway,FAST FOODS,All fast food outlets in alphabetical order,Whole (228g),426.36,38.01,22.8,20,8.3,3.99,54.72,1605.12,21.318,12.67,30.4,31.25,41.5,15.96,18.24,66.88,0.718497203,1.665336038,22,56,
14,6-inch Meatball Marinara Sandwich Subway,FAST FOODS,All fast food outlets in alphabetical order,Whole (339g),471.21,52.99,20.34,20,8,4.98,67.8,1223.79,23.5605,17.66333333,27.12,31.25,40,19.92,22.6,50.99125,0.755735824,1.366685421,23,45,
15,6-inch Oven Roasted Chicken Breast Sandwich Subway,FAST FOODS,All fast food outlets in alphabetical order,Whole (230g),305.9,40.94,23,5.29,1.61,5.06,23,807.3,15.295,13.64666667,30.66666667,8.265625,8.05,20.24,7.666666667,33.6375,1.617184559,1.144530996,50,36,
16,6-Inch Parmesan Oregano Bread Subway,FAST FOODS,All fast food outlets in alphabetical order,Whole (71g),205.9,36,7.81,2.9,1,2,0,421.03,10.295,12,10.41333333,4.53125,5,8,0,17.54291667,0.996359003,1.045825676,31,32,
17,6-inch Roast Beef Sandwich Subway,FAST FOODS,All fast food outlets in alphabetical order,Whole (210g),270.9,38.01,18.9,4.49,1.7,3.99,71.4,648.9,13.545,12.67,25.2,7.015625,8.5,15.96,23.8,27.0375,1.192996324,1.086834745,37,34,
18,6-inch Spicy Italian Sandwich Subway,FAST FOODS,All fast food outlets in alphabetical order,Whole (224g),497.28,38.08,22.4,28,11.29,5,62.72,1693.44,24.864,12.69333333,29.86666667,43.75,56.45,20,20.90666667,70.56,0.670937136,1.641136856,21,55,
19,6-inch Steak and Cheese Sandwich Subway,FAST FOODS,All fast food outlets in alphabetical order,Whole (270g),394.2,42.01,27,11.99,5.4,5,56.7,1085.4,19.71,14.00333333,36,18.734375,27,20,18.9,45.225,1.117379238,1.262152854,35,41,
20,6-inch Subway Club Sandwich Subway,FAST FOODS,All fast food outlets in alphabetical order,Whole (243g),298.89,38.98,24.3,5.2,1.8,4.01,38.88,1057.05,14.9445,12.99333333,32.4,8.125,9,16.04,12.96,44.04375,1.279253095,1.377384336,40,45,
21,6-inch Subway Melt Sandwich Subway,FAST FOODS,All fast food outlets in alphabetical order,Whole (240g),360,39,24,10.99,5.3,4.01,45.6,1404,18,13,32,17.171875,26.5,16.04,15.2,58.5,0.910375148,1.568342305,28,52,
22,6-inch Sweet Onion Chicken Teriyaki Sandwich Subway,FAST FOODS,All fast food outlets in alphabetical order,Whole (267g),355.11,50.01,26.7,4.81,1.5,4.01,48.06,881.1,17.7555,16.67,35.6,7.515625,7.5,16.04,16.02,36.7125,1.348792061,1.101106302,42,35,
23,6-inch Tuna Sandwich Subway,FAST FOODS,All fast food outlets in alphabetical order,Whole (236g),507.4,35.99,21.24,30,6.89,3.99,44.84,800.04,25.37,11.99666667,28.32,46.875,34.45,15.96,14.94666667,33.335,0.916861073,1.173636249,28,37,
24,6-inch Turkey Breast and Ham Sandwich Subway,FAST FOODS,All fast food outlets in alphabetical order,Whole (219g),271.56,38,19.71,4.49,1.49,4.01,26.28,1011.78,13.578,12.66666667,26.28,7.015625,7.45,16.04,8.76,42.1575,1.240248284,1.429851489,38,47,
25,6-inch Turkey breast Sandwich Subway,FAST FOODS,All fast food outlets in alphabetical order,Whole (210g),260.4,37,18.9,3.91,1.3,3.99,21,787.5,13.02,12.33333333,25.2,6.109375,6.5,15.96,7,32.8125,1.42252552,1.234558045,44,40,
26,6-Inch Wheat Bread Subway,FAST FOODS,All fast food outlets in alphabetical order,Whole (69g),189.75,32,8.28,2.6,0.9,3,0,280.83,9.4875,10.66666667,11.04,4.0625,4.5,12,0,11.70125,1.546964698,0.867992199,48,26,
27,a.m. Hash Brown KFC,FAST FOODS,All fast food outlets in alphabetical order,Piece (57g),90.06,11,1,5,1,1.54,0,200.07,4.503,3.666666667,1.333333333,7.8125,5,6.16,0,8.33625,0.840842189,1.247122782,26,40,
28,Abalone noodles soup,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Cereal based dishes,Bowl-soup (16 and 1/2 cm) (502g),243.97,32.68,18.22,4.52,1.66,2.46,32.63,1543.65,12.1985,10.89333333,24.29333333,7.0625,8.3,9.84,10.87666667,64.31875,0.792449387,2.105550906,25,72,
30,Abalone canned drained,FISH AND FISH PRODUCTS,Others (squids algae plankton etc),Can (212g),178.08,5.94,36.46,1.06,0.36,0,163.24,1411.92,8.904,1.98,48.61333333,1.65625,1.8,0,54.41333333,58.83,0.956147298,2.142105883,30,74,
31,Abalone dried,FISH AND FISH PRODUCTS,Shellfish and roe (eg all bivalves),Teaspoon (10.5g),31.82,0.3,6.77,0.21,0.11,0,125.9,315,1.591,0.1,9.026666667,0.328125,0.55,0,41.96666667,13.125,0.386801283,1.873435727,12,64,
